use_case,drone_type,battery_capacity_mAh,payload_weight_kg,weather_condition,estimated_flight_time_minutes
Defense,Medium,22075,3.03,Rainy,10.0
Agriculture,Micro,30266,2.47,Windy,19.1
Survey,Small,30257,14.69,Stormy,10.0
Defense,Nano,32143,8.25,Summer,22.88
Disaster,Small,41893,17.79,Windy,15.86
Defense,Nano,45505,6.3,Rainy,32.27
Disaster,Large,43762,16.63,Windy,10.0
Survey,Nano,43186,6.99,Normal,37.47
Disaster,Nano,50705,2.21,Summer,43.93
Survey,Large,36975,15.57,Windy,10.0
Defense,Small,49630,11.88,Summer,31.61
Agriculture,Small,45659,17.9,Windy,18.44
Agriculture,Medium,47595,15.04,Stormy,13.84
Disaster,Medium,57898,12.49,Stormy,21.24
Survey,Nano,21818,14.71,Stormy,10.0
Disaster,Micro,22634,16.28,Rainy,10.0
Agriculture,Nano,56366,6.1,Summer,46.22
Disaster,Small,55416,17.47,Stormy,21.86
Defense,Micro,30057,17.52,Normal,15.04
Survey,Large,43542,16.65,Rainy,10.0
Defense,Medium,23698,9.03,Summer,10.0
Medical,Small,34068,7.1,Stormy,14.03
Agriculture,Large,58506,8.44,Stormy,16.05
Medical,Micro,51647,16.71,Normal,37.28
Disaster,Small,16719,14.62,Summer,10.0
Survey,Large,24239,1.0,Windy,10.0
Defense,Micro,56251,13.1,Normal,44.77
Medical,Micro,44633,7.26,Summer,34.04
Agriculture,Large,23755,7.45,Stormy,10.0
Disaster,Small,57520,1.92,Summer,45.89
Agriculture,Nano,27781,4.8,Stormy,14.29
Survey,Nano,17096,5.77,Normal,12.36
Disaster,Micro,58496,8.08,Normal,51.03
Defense,Medium,23074,18.18,Rainy,10.0
Survey,Small,56163,1.45,Windy,35.0
Medical,Large,30202,4.08,Windy,10.0
Agriculture,Large,44841,10.68,Stormy,10.0
Agriculture,Medium,50143,10.45,Summer,26.35
Survey,Micro,53310,13.33,Rainy,33.32
Defense,Large,59365,2.93,Stormy,19.21
Agriculture,Nano,58724,18.03,Stormy,26.5
Medical,Micro,54870,5.66,Windy,34.54
Disaster,Small,52552,4.07,Windy,31.01
Defense,Nano,25928,2.3,Normal,23.96
Defense,Nano,35551,7.78,Windy,20.44
Disaster,Medium,52943,10.88,Summer,28.57
Agriculture,Medium,43897,7.37,Windy,17.85
Survey,Medium,31452,13.29,Normal,10.0
Agriculture,Nano,43844,13.3,Windy,23.16
Disaster,Micro,58043,13.97,Summer,41.28
Medical,Nano,51007,12.12,Rainy,32.95
Disaster,Micro,34467,17.21,Normal,19.7
Survey,Medium,45544,10.56,Windy,17.22
Survey,Large,25950,3.27,Stormy,10.0
Medical,Small,25460,2.93,Stormy,10.87
Medical,Small,31074,9.41,Normal,18.55
Medical,Nano,56691,7.73,Summer,45.34
Defense,Medium,46051,2.65,Summer,28.29
Defense,Micro,27173,16.41,Summer,11.74
Medical,Medium,17484,9.38,Normal,10.0
Agriculture,Micro,20109,7.38,Windy,10.0
Disaster,Nano,32284,15.38,Windy,13.9
Defense,Micro,23537,10.2,Summer,12.94
Medical,Small,54665,12.63,Summer,35.6
Agriculture,Large,45360,19.63,Summer,10.0
Disaster,Small,30412,12.77,Windy,10.64
Defense,Small,42209,15.29,Normal,24.98
Defense,Micro,49621,17.64,Summer,31.06
Agriculture,Small,36707,17.25,Normal,17.91
Disaster,Micro,57362,15.47,Stormy,26.39
Disaster,Nano,18732,6.29,Normal,13.57
Survey,Small,23140,4.94,Normal,14.19
Defense,Medium,17454,6.54,Windy,10.0
Disaster,Micro,59059,16.7,Rainy,35.76
Defense,Medium,25761,15.58,Stormy,10.0
Disaster,Micro,58803,11.65,Rainy,38.79
Agriculture,Micro,19923,4.69,Summer,13.65
Agriculture,Micro,38386,11.9,Rainy,22.29
Medical,Micro,51115,3.58,Normal,47.25
Disaster,Large,21192,2.13,Rainy,10.0
Medical,Micro,19771,6.14,Windy,10.0
Survey,Nano,38159,1.4,Normal,36.91
Defense,Large,44664,3.39,Rainy,13.56
Survey,Micro,25245,7.3,Windy,12.88
Defense,Micro,49589,3.35,Normal,45.91
Survey,Medium,53786,8.73,Stormy,20.58
Medical,Large,15844,8.3,Windy,10.0
Agriculture,Nano,30109,2.98,Normal,27.6
Disaster,Medium,28098,13.84,Windy,10.0
Medical,Medium,47623,12.54,Stormy,15.05
Disaster,Small,41672,1.9,Summer,31.64
Agriculture,Nano,38936,7.64,Stormy,19.62
Agriculture,Large,27704,11.22,Normal,10.0
Disaster,Micro,40298,13.22,Windy,20.11
Medical,Nano,49035,4.76,Rainy,36.08
Survey,Small,23891,14.45,Windy,10.0
Survey,Large,23034,8.45,Rainy,10.0
Survey,Large,21036,19.06,Summer,10.0
Disaster,Micro,24059,4.25,Stormy,11.8
Medical,Nano,24809,8.64,Normal,17.77
Survey,Small,25021,17.2,Stormy,10.0
Disaster,Large,15529,18.27,Summer,10.0
Survey,Medium,21246,11.03,Stormy,10.0
Agriculture,Small,44971,16.47,Summer,24.12
Survey,Nano,43151,11.75,Rainy,26.9
Agriculture,Micro,46499,6.02,Stormy,24.41
Agriculture,Large,47641,19.16,Summer,10.0
Defense,Nano,17224,10.41,Rainy,10.0
Survey,Medium,46762,12.04,Normal,24.63
Agriculture,Small,37263,9.36,Stormy,14.86
Medical,Large,40684,14.82,Stormy,10.0
Defense,Large,35051,18.72,Summer,10.0
Medical,Large,30483,10.73,Stormy,10.0
Agriculture,Micro,29555,8.62,Rainy,17.33
Survey,Small,42523,16.18,Stormy,14.75
Defense,Micro,32765,16.78,Normal,18.34
Medical,Large,15673,11.2,Summer,10.0
Agriculture,Medium,32350,13.16,Summer,10.0
Defense,Micro,17278,12.62,Stormy,10.0
Disaster,Large,28208,17.25,Summer,10.0
Disaster,Micro,55090,6.98,Windy,33.95
Agriculture,Large,34844,4.14,Normal,10.0
Disaster,Small,58340,7.53,Stormy,28.39
Defense,Micro,35580,15.35,Windy,15.61
Survey,Large,23720,2.18,Rainy,10.0
Defense,Medium,21323,16.63,Stormy,10.0
Agriculture,Nano,34138,17.98,Summer,17.67
Disaster,Nano,32675,5.87,Windy,19.5
Defense,Large,59173,16.81,Stormy,12.44
Disaster,Large,20599,16.66,Windy,10.0
Defense,Medium,40896,14.95,Rainy,13.15
Survey,Micro,52352,16.77,Windy,26.56
Medical,Nano,22934,10.73,Rainy,11.38
Medical,Nano,17377,17.13,Summer,10.0
Disaster,Micro,25460,10.13,Stormy,10.0
Agriculture,Large,56328,10.73,Summer,20.47
Defense,Nano,51510,19.1,Rainy,28.88
Agriculture,Nano,44519,18.97,Windy,20.45
Agriculture,Micro,49463,3.53,Stormy,27.38
Medical,Small,32375,11.85,Windy,12.53
Medical,Large,58880,1.18,Summer,29.64
Survey,Large,28659,2.18,Rainy,10.0
Survey,Micro,48918,7.02,Normal,42.3
Medical,Medium,35634,9.79,Normal,15.3
Medical,Small,52710,9.12,Summer,36.37
Agriculture,Small,19278,15.44,Summer,10.0
Disaster,Large,38557,9.13,Stormy,10.0
Agriculture,Micro,19938,5.94,Stormy,10.0
Survey,Large,21126,17.46,Rainy,10.0
Medical,Small,59256,7.74,Summer,43.26
Survey,Micro,59955,2.35,Rainy,45.66
Defense,Small,53849,19.23,Stormy,20.08
Agriculture,Small,32031,17.75,Windy,10.0
Disaster,Small,24294,6.55,Stormy,10.0
Defense,Medium,31086,19.95,Stormy,10.0
Disaster,Micro,42326,9.37,Stormy,20.3
Survey,Micro,37455,12.06,Windy,18.76
Defense,Small,19417,2.45,Summer,11.21
Defense,Medium,58148,4.21,Summer,38.05
Agriculture,Medium,16842,18.68,Stormy,10.0
Agriculture,Small,27289,17.62,Normal,10.0
Defense,Nano,30232,3.0,Normal,27.71
Survey,Micro,49390,6.11,Summer,39.15
Agriculture,Small,36431,7.31,Windy,17.91
Disaster,Small,56001,10.68,Summer,38.21
Disaster,Micro,32688,16.13,Stormy,11.27
Disaster,Small,24988,17.5,Windy,10.0
Defense,Micro,57565,18.81,Windy,29.06
Agriculture,Nano,24735,16.69,Normal,11.26
Medical,Medium,23085,8.43,Normal,10.0
Survey,Micro,32354,5.42,Normal,27.02
Defense,Large,57573,12.89,Rainy,17.81
Medical,Nano,41961,3.67,Rainy,31.12
Survey,Medium,26516,19.05,Rainy,10.0
Disaster,Medium,39152,8.09,Stormy,12.11
Defense,Micro,33053,16.58,Normal,18.79
Defense,Micro,49815,12.23,Normal,39.03
Survey,Nano,52925,1.13,Windy,36.33
Survey,Large,58773,19.35,Stormy,10.98
Disaster,Large,32185,13.9,Windy,10.0
Disaster,Nano,27052,18.52,Windy,10.0
Agriculture,Medium,50122,7.3,Rainy,25.43
Survey,Small,50378,19.37,Normal,29.88
Medical,Small,39069,17.51,Stormy,12.04
Medical,Micro,41718,12.54,Rainy,24.55
Survey,Nano,25473,5.29,Stormy,12.67
Disaster,Small,20418,18.14,Windy,10.0
Defense,Medium,55951,18.91,Windy,19.83
Disaster,Large,53833,15.42,Normal,16.5
Medical,Micro,40160,8.46,Summer,29.15
Survey,Micro,51091,1.61,Windy,34.16
Disaster,Micro,25204,12.87,Summer,12.52
Disaster,Medium,54276,16.07,Windy,20.24
Agriculture,Large,21640,5.67,Normal,10.0
Agriculture,Medium,58801,5.02,Normal,42.29
Defense,Medium,23741,17.19,Normal,10.0
Agriculture,Medium,27847,9.45,Summer,10.0
Survey,Small,53369,1.01,Windy,33.29
Disaster,Nano,37839,12.97,Rainy,21.87
Agriculture,Micro,40376,6.9,Windy,23.7
Survey,Medium,16433,11.06,Windy,10.0
Survey,Large,23063,11.63,Normal,10.0
Survey,Nano,30872,14.58,Rainy,15.27
Survey,Micro,34790,7.48,Windy,19.46
Agriculture,Medium,38072,7.65,Normal,19.45
Survey,Micro,33460,4.64,Rainy,23.0
Agriculture,Micro,21884,5.67,Stormy,10.0
Disaster,Nano,46471,1.21,Normal,45.38
Defense,Micro,55224,12.26,Windy,31.09
Disaster,Small,20720,13.64,Windy,10.0
Agriculture,Small,58651,17.0,Stormy,24.03
Medical,Medium,49685,12.14,Windy,19.23
Survey,Nano,17742,14.47,Stormy,10.0
Survey,Medium,38931,7.27,Normal,20.61
Disaster,Nano,41175,10.08,Windy,23.09
Medical,Medium,36592,8.75,Stormy,10.26
Disaster,Medium,50570,11.96,Summer,25.65
Agriculture,Micro,53171,4.77,Stormy,29.01
Survey,Nano,24038,19.76,Rainy,10.0
Defense,Small,24206,5.06,Summer,13.64
Agriculture,Small,28640,16.83,Stormy,10.0
Disaster,Micro,27594,14.1,Stormy,10.0
Disaster,Medium,45848,11.37,Windy,16.98
Disaster,Large,25818,16.24,Stormy,10.0
Agriculture,Medium,38960,1.19,Summer,22.96
Medical,Nano,51416,3.68,Windy,33.84
Defense,Large,20718,19.25,Normal,10.0
Medical,Nano,38114,7.18,Windy,22.57
Agriculture,Small,38652,1.31,Summer,29.34
Defense,Nano,36317,19.2,Stormy,12.5
Defense,Nano,44962,8.01,Windy,26.9
Defense,Micro,43928,8.91,Summer,32.22
Disaster,Medium,56498,5.42,Rainy,31.73
Defense,Large,33243,18.3,Stormy,10.0
Survey,Medium,38866,13.42,Summer,14.07
Medical,Large,48144,7.09,Windy,12.23
Survey,Small,29656,12.45,Windy,10.29
Survey,Nano,47757,3.92,Normal,44.5
Medical,Medium,44932,10.22,Summer,21.83
Defense,Nano,22749,16.64,Summer,10.0
Survey,Large,55540,4.95,Rainy,21.26
Disaster,Small,59823,1.27,Summer,48.43
Medical,Micro,44060,19.22,Summer,24.92
Disaster,Small,39831,8.19,Stormy,16.97
Defense,Micro,56977,8.93,Summer,43.95
Defense,Large,21509,14.39,Summer,10.0
Defense,Large,29789,17.15,Summer,10.0
Agriculture,Small,26782,14.5,Rainy,10.0
Disaster,Micro,38800,18.82,Rainy,18.2
Medical,Medium,43793,7.61,Windy,17.64
Survey,Micro,35221,8.9,Rainy,21.68
Agriculture,Small,18388,7.6,Summer,10.0
Defense,Medium,17539,10.08,Stormy,10.0
Agriculture,Small,39008,3.47,Rainy,24.99
Medical,Nano,16005,1.39,Normal,14.77
Medical,Nano,36722,16.55,Windy,16.35
Disaster,Small,38666,1.35,Windy,22.81
Defense,Medium,20530,10.87,Stormy,10.0
Agriculture,Medium,51161,19.96,Rainy,18.15
Agriculture,Nano,37161,15.63,Stormy,14.72
Disaster,Large,48333,5.98,Summer,16.69
Agriculture,Small,16495,17.45,Stormy,10.0
Medical,Micro,48512,1.16,Summer,41.93
Defense,Micro,16742,10.04,Summer,10.0
Disaster,Medium,59090,19.74,Windy,21.56
Disaster,Small,21784,9.39,Summer,10.0
Agriculture,Nano,16669,12.79,Summer,10.0
Agriculture,Medium,33136,8.15,Windy,10.0
Defense,Medium,33435,7.63,Normal,14.83
Agriculture,Micro,35491,12.51,Normal,24.48
Defense,Medium,45906,19.39,Summer,16.1
Defense,Micro,56274,3.73,Rainy,41.83
Defense,Micro,27699,13.28,Windy,11.25
Defense,Nano,23367,1.29,Rainy,17.77
Medical,Small,28762,7.56,Stormy,10.63
Survey,Medium,52530,7.76,Stormy,20.29
Medical,Nano,39563,19.53,Windy,16.67
Agriculture,Medium,16845,9.1,Windy,10.0
Agriculture,Micro,56375,12.93,Rainy,36.02
Medical,Small,30519,6.72,Windy,14.1
Disaster,Medium,49075,6.85,Windy,21.77
Survey,Micro,41919,7.93,Summer,31.12
Disaster,Small,34349,16.57,Normal,16.09
Survey,Large,48945,4.26,Windy,14.38
Agriculture,Small,30145,7.23,Summer,17.42
Agriculture,Medium,53180,15.82,Windy,19.62
Medical,Small,26048,15.61,Rainy,10.0
Agriculture,Micro,17959,14.38,Summer,10.0
Survey,Large,41612,2.72,Rainy,11.55
Agriculture,Large,53612,4.42,Rainy,20.06
Defense,Nano,17304,4.11,Summer,12.5
Disaster,Medium,18393,4.68,Windy,10.0
Survey,Large,46612,14.42,Windy,10.0
Disaster,Small,54684,13.49,Rainy,31.11
Disaster,Micro,21624,4.63,Rainy,13.54
Survey,Nano,49496,10.29,Summer,37.03
Survey,Large,19049,11.18,Normal,10.0
Medical,Large,50977,17.67,Summer,10.66
Survey,Nano,46727,15.13,Rainy,27.6
Agriculture,Small,39599,19.18,Normal,19.25
Disaster,Nano,38081,14.04,Normal,26.72
Agriculture,Micro,58692,10.91,Summer,44.07
Agriculture,Small,52877,13.13,Rainy,29.9
Defense,Medium,51648,5.01,Stormy,21.08
Defense,Nano,37075,13.6,Rainy,20.86
Medical,Micro,16455,7.28,Rainy,10.0
Agriculture,Large,41480,16.39,Normal,10.0
Disaster,Large,53287,11.29,Summer,17.33
Disaster,Nano,25229,15.13,Windy,10.0
Agriculture,Large,46573,19.31,Rainy,10.0
Defense,Large,52645,5.11,Windy,16.49
Medical,Nano,46909,10.43,Stormy,23.06
Disaster,Large,48963,11.51,Summer,13.28
Survey,Medium,26614,9.89,Summer,10.0
Defense,Medium,57794,4.92,Stormy,24.81
Defense,Nano,45367,6.99,Stormy,23.79
Survey,Small,33034,8.42,Normal,21.3
Survey,Medium,46839,4.68,Normal,30.59
Medical,Medium,30281,19.72,Summer,10.0
Survey,Micro,45803,17.83,Summer,27.49
Survey,Nano,46738,7.23,Normal,40.83
Medical,Small,34075,4.55,Normal,25.44
Defense,Nano,18668,19.96,Rainy,10.0
Medical,Nano,55834,3.63,Rainy,42.24
Medical,Small,32309,6.82,Stormy,13.11
Defense,Large,30722,6.79,Rainy,10.0
Agriculture,Nano,19600,6.53,Stormy,10.0
Medical,Medium,33641,13.78,Normal,10.12
Disaster,Large,30790,3.36,Stormy,10.0
Defense,Large,55011,7.73,Stormy,14.3
Medical,Micro,56386,2.45,Normal,53.43
Survey,Nano,18840,10.2,Stormy,10.0
Defense,Large,33293,10.78,Summer,10.0
Defense,Nano,54570,15.98,Rainy,33.33
Medical,Nano,46126,14.95,Summer,30.64
Survey,Micro,46274,2.46,Stormy,25.98
Disaster,Large,16464,5.31,Normal,10.0
Agriculture,Micro,15381,7.91,Summer,10.0
Medical,Micro,43788,2.64,Stormy,24.41
Disaster,Nano,53166,4.05,Normal,49.8
Medical,Nano,54225,6.58,Normal,48.84
Survey,Large,59655,18.75,Summer,17.69
Disaster,Micro,49272,13.36,Normal,37.58
Medical,Small,35761,7.28,Windy,17.46
Survey,Large,17610,13.78,Stormy,10.0
Survey,Medium,58892,2.19,Stormy,26.78
Agriculture,Medium,35798,11.76,Summer,12.5
Disaster,Nano,16127,7.73,Rainy,10.0
Disaster,Medium,41535,12.5,Summer,17.13
Disaster,Large,26136,2.93,Windy,10.0
Disaster,Medium,49815,9.49,Windy,20.81
Survey,Large,30449,16.29,Stormy,10.0
Survey,Nano,43572,12.92,Summer,29.8
Agriculture,Micro,40315,1.77,Normal,37.9
Agriculture,Large,37368,18.08,Normal,10.0
Medical,Micro,50456,14.58,Windy,26.45
Medical,Micro,26234,17.25,Stormy,10.0
Survey,Large,50304,3.18,Rainy,18.21
Defense,Nano,35920,5.17,Stormy,19.0
Agriculture,Small,26981,17.35,Normal,10.0
Agriculture,Small,33030,16.22,Rainy,12.04
Disaster,Small,59266,14.35,Rainy,34.23
Medical,Large,22500,14.59,Windy,10.0
Medical,Nano,44090,4.54,Normal,40.33
Agriculture,Large,30281,4.38,Normal,10.0
Medical,Micro,22488,4.93,Stormy,10.53
Disaster,Small,50495,14.08,Summer,30.81
Medical,Nano,16053,18.77,Normal,10.0
Defense,Nano,51738,10.97,Rainy,34.27
Medical,Medium,34019,1.18,Windy,14.4
Defense,Small,24973,18.47,Rainy,10.0
Defense,Micro,25690,8.9,Summer,15.81
Medical,Medium,39999,15.25,Windy,10.71
Agriculture,Large,27479,3.23,Rainy,10.0
Medical,Nano,24016,17.42,Windy,10.0
Disaster,Small,49850,6.64,Rainy,31.63
Disaster,Large,51171,11.71,Rainy,13.44
Disaster,Large,51701,15.48,Windy,10.02
Disaster,Micro,28811,14.94,Windy,11.1
Defense,Micro,58855,15.73,Windy,31.69
Agriculture,Large,59531,13.84,Stormy,14.08
Agriculture,Medium,30634,16.82,Stormy,10.0
Agriculture,Large,30257,10.95,Stormy,10.0
Agriculture,Medium,20756,4.17,Summer,10.0
Agriculture,Medium,29107,1.71,Windy,10.67
Agriculture,Medium,58331,10.01,Windy,26.48
Survey,Medium,30266,16.37,Rainy,10.0
Agriculture,Medium,24282,16.7,Summer,10.0
Survey,Small,41089,5.64,Stormy,18.95
Medical,Nano,58393,17.32,Windy,31.09
Survey,Nano,40760,5.76,Stormy,21.62
Survey,Small,50603,15.86,Normal,32.91
Agriculture,Nano,29464,3.52,Rainy,21.22
Agriculture,Large,29948,10.66,Summer,10.0
Medical,Micro,56453,14.82,Windy,30.52
Disaster,Small,53632,16.64,Windy,24.72
Defense,Small,35222,3.75,Normal,27.22
Survey,Small,46708,9.5,Summer,30.7
Survey,Nano,22672,6.08,Normal,17.68
Agriculture,Small,29228,11.04,Summer,13.86
Survey,Nano,50063,14.56,Windy,26.8
Agriculture,Small,22688,14.92,Normal,10.0
Agriculture,Small,43394,12.94,Windy,19.63
Agriculture,Small,43754,8.17,Stormy,19.33
Medical,Large,59493,13.2,Summer,21.54
Disaster,Micro,54895,12.37,Normal,44.0
Medical,Medium,50530,9.38,Windy,21.37
Survey,Medium,59812,1.87,Summer,41.23
Medical,Nano,18081,2.02,Rainy,13.07
Medical,Micro,23200,4.84,Normal,18.33
Medical,Micro,33432,19.64,Rainy,13.38
Medical,Medium,44205,3.48,Normal,28.92
Agriculture,Nano,57686,10.87,Normal,48.87
Agriculture,Nano,46282,15.92,Rainy,26.74
Medical,Small,19086,2.19,Summer,11.1
Medical,Small,19827,4.97,Stormy,10.0
Survey,Micro,56830,4.5,Windy,36.56
Medical,Medium,59055,14.67,Summer,31.34
Disaster,Small,16101,14.33,Windy,10.0
Disaster,Small,43132,11.4,Stormy,17.41
Defense,Micro,51536,13.88,Rainy,31.55
Disaster,Medium,57598,3.74,Stormy,25.26
Disaster,Nano,53246,9.92,Rainy,36.15
Survey,Nano,18340,2.73,Rainy,12.82
Agriculture,Small,55104,18.0,Stormy,21.42
Medical,Micro,38854,11.91,Stormy,17.0
Disaster,Large,35924,9.38,Stormy,10.0
Agriculture,Large,49590,16.17,Stormy,10.0
Survey,Nano,21345,2.55,Stormy,11.51
Disaster,Small,44206,3.69,Stormy,21.75
Defense,Medium,26376,16.35,Windy,10.0
Defense,Large,59241,3.18,Summer,28.53
Survey,Small,26117,8.49,Summer,12.89
Agriculture,Medium,40975,6.01,Normal,23.67
Agriculture,Small,36954,18.6,Summer,15.37
Medical,Medium,59119,7.87,Stormy,24.19
Medical,Medium,38887,2.02,Rainy,19.82
Medical,Micro,58548,19.21,Summer,37.96
Survey,Large,51702,17.77,Summer,11.24
Medical,Nano,55486,16.98,Stormy,25.07
Disaster,Micro,44465,3.63,Rainy,32.45
Defense,Micro,30135,5.31,Stormy,14.93
Survey,Large,19848,5.11,Normal,10.0
Disaster,Small,59004,1.35,Rainy,42.34
Medical,Nano,45689,17.12,Summer,28.68
Medical,Nano,23613,1.62,Normal,22.19
Survey,Nano,58301,18.51,Rainy,34.69
Medical,Nano,17776,15.56,Rainy,10.0
Medical,Medium,21349,19.42,Normal,10.0
Defense,Nano,26691,5.45,Stormy,13.32
Agriculture,Micro,44841,7.83,Stormy,22.55
Defense,Nano,28230,11.15,Windy,13.43
Disaster,Large,23947,11.79,Summer,10.0
Medical,Micro,18091,17.36,Normal,10.0
Medical,Small,37481,6.26,Rainy,21.98
Medical,Medium,45701,19.03,Stormy,10.79
Survey,Large,19221,17.78,Rainy,10.0
Disaster,Micro,31911,4.08,Stormy,16.59
Survey,Micro,34279,14.74,Rainy,17.19
Survey,Large,30233,4.95,Summer,10.0
Agriculture,Micro,32954,3.49,Normal,29.16
Defense,Micro,25906,19.78,Normal,10.0
Medical,Micro,34501,2.62,Summer,28.26
Defense,Large,28802,18.64,Rainy,10.0
Agriculture,Small,33336,7.34,Stormy,13.48
Defense,Nano,53341,14.71,Stormy,24.87
Agriculture,Nano,53251,1.8,Summer,46.52
Defense,Nano,43156,1.96,Stormy,24.88
Disaster,Small,26074,9.59,Rainy,10.72
Disaster,Large,49722,17.36,Normal,10.83
Medical,Large,43362,16.22,Rainy,10.0
Defense,Small,46877,19.88,Stormy,15.58
Disaster,Nano,32618,19.19,Windy,12.0
Defense,Nano,59513,15.36,Summer,42.39
Disaster,Small,24176,10.59,Windy,10.0
Medical,Nano,54706,19.33,Normal,39.12
Medical,Nano,59962,15.41,Windy,33.26
Medical,Micro,43155,1.08,Stormy,24.77
Defense,Medium,52723,13.04,Normal,29.79
Survey,Nano,16059,8.12,Summer,10.0
Medical,Nano,57686,9.45,Normal,50.0
Disaster,Large,38325,15.47,Rainy,10.0
Medical,Medium,42039,10.86,Normal,20.85
Agriculture,Nano,49578,12.0,Windy,27.9
Survey,Nano,34536,16.24,Windy,14.99
Disaster,Large,47101,12.13,Stormy,10.0
Defense,Large,45834,17.63,Summer,10.0
Defense,Small,26685,10.16,Summer,12.2
Agriculture,Large,19109,1.6,Summer,10.0
Agriculture,Nano,36894,15.21,Windy,17.22
