use_case,region,project_scale,manpower_required,drones_required,expected_revenue,operational_cost,estimated_profit,market_growth_percent
Agriculture,Telangana,Large,35,1,4235542,374938,3860604,11.13
Medical,Maharashtra,Medium,19,13,2113665,1261772,851893,17.25
Agriculture,Tamil Nadu,Large,7,18,4663702,1788983,2874719,7.71
Medical,Delhi,Medium,25,10,1493889,1084034,409855,16.28
Disaster,Telangana,Large,43,2,3838905,1698352,2140553,17.39
Disaster,Telangana,Medium,28,5,4694764,990589,3704175,16.43
Medical,Karnataka,Large,14,1,1339093,1890321,-551228,9.42
Defense,Telangana,Large,44,20,2903794,1799556,1104238,11.76
Mining,Delhi,Small,38,15,3643646,927757,2715889,7.54
Agriculture,Delhi,Medium,41,10,4372443,625170,3747273,8.21
Agriculture,Tamil Nadu,Medium,42,18,3700544,1746406,1954138,24.72
Agriculture,Maharashtra,Medium,29,10,2839994,386587,2453407,12.0
Agriculture,Telangana,Large,13,18,3798121,536193,3261928,13.52
Agriculture,Karnataka,Medium,49,12,1962333,204486,1757847,14.77
Mining,Maharashtra,Medium,38,20,781098,1045112,-264014,16.31
Medical,Karnataka,Large,20,20,2198764,1853645,345119,16.36
Disaster,Telangana,Medium,16,18,1052297,675744,376553,12.5
Agriculture,Tamil Nadu,Small,9,1,3665336,532152,3133184,23.66
Disaster,Delhi,Medium,40,7,1911013,1713872,197141,8.53
Disaster,Telangana,Large,47,9,733189,1445377,-712188,5.32
Disaster,Karnataka,Small,32,17,4328212,1190743,3137469,18.65
Mining,Delhi,Medium,24,4,1667957,1863295,-195338,14.08
Defense,Delhi,Large,14,20,3114388,1446481,1667907,14.63
Disaster,Karnataka,Small,49,11,4750047,1462037,3288010,5.39
Agriculture,Telangana,Small,50,19,1218505,1519239,-300734,7.86
Agriculture,Maharashtra,Medium,19,7,2928260,831063,2097197,18.23
Disaster,Tamil Nadu,Medium,40,20,2211622,1738845,472777,24.49
Medical,Delhi,Small,28,4,1940798,1299256,641542,20.66
Mining,Telangana,Large,31,7,3528709,768756,2759953,24.0
Disaster,Telangana,Large,30,18,4717264,957254,3760010,20.91
Medical,Tamil Nadu,Medium,28,3,1143072,964184,178888,6.74
Defense,Maharashtra,Small,50,16,1987523,1717246,270277,14.51
Medical,Karnataka,Large,10,18,1347874,1741041,-393167,9.12
Agriculture,Tamil Nadu,Large,34,3,2841666,1848018,993648,15.31
Medical,Karnataka,Medium,39,11,3436680,1814234,1622446,24.27
Agriculture,Telangana,Large,40,20,4342074,771082,3570992,21.35
Medical,Maharashtra,Small,17,18,2282884,587064,1695820,5.92
Mining,Delhi,Large,18,18,3064167,1952314,1111853,6.4
Medical,Karnataka,Large,46,3,1349010,997625,351385,22.09
Agriculture,Delhi,Medium,29,19,4793759,1618682,3175077,18.62
Mining,Delhi,Small,17,13,898945,1636185,-737240,19.98
Mining,Maharashtra,Medium,46,15,2162082,933761,1228321,19.41
Disaster,Telangana,Medium,18,8,1192614,1309398,-116784,14.16
Mining,Tamil Nadu,Large,30,9,1926969,1407414,519555,16.55
Agriculture,Tamil Nadu,Medium,17,10,4703791,1309190,3394601,18.85
Medical,Maharashtra,Medium,24,13,1992064,1375430,616634,20.92
Disaster,Tamil Nadu,Large,44,19,4932513,683215,4249298,15.1
Disaster,Delhi,Large,10,16,3697639,687011,3010628,19.88
Mining,Tamil Nadu,Large,22,6,3249943,1056028,2193915,19.0
Defense,Telangana,Small,34,13,4089743,1519541,2570202,22.7
Mining,Delhi,Medium,33,15,1126574,1212344,-85770,5.89
Defense,Karnataka,Medium,50,8,4477763,675337,3802426,10.49
Disaster,Telangana,Large,33,20,2914677,1439874,1474803,23.22
